1.3.4		2015-10-28T06:40:37Z	
2.0-alpha		2016-05-06T05:45:56Z	
2.0-alpha2		2016-05-06T05:46:36Z	
2.21-alpha		2016-10-27T01:08:38Z	
2.a.14		2016-07-26T02:41:59Z	
2.a.15		2016-08-01T06:32:29Z	
2.a.15-1		2016-08-01T09:42:59Z	
2.a.15-2		2016-08-02T07:35:57Z	
2.a.15-3		2016-08-03T01:19:59Z	
2.a.16		2016-08-03T08:34:25Z	
2.a.16-1		2016-08-03T08:45:26Z	
2.a.17		2016-08-09T09:42:37Z	
2.a.18		2016-08-10T06:21:16Z	
2.a.19		2016-08-11T05:43:32Z	
2.a.19-1		2016-08-14T04:56:25Z	
2.a.19-2		2016-08-16T03:30:56Z	
2.a.20		2016-08-17T10:43:09Z	
2.a.20-1		2016-08-19T10:21:18Z	
2.a.20-2		2016-08-19T10:45:21Z	
2.a.20-3		2016-08-19T11:05:59Z	
2.a.20-4		2016-08-19T11:19:39Z	
2.a.20-5		2016-08-19T11:57:30Z	
2.a.20-6		2016-10-19T04:07:12Z	
2.a.20-7		2016-10-25T15:13:57Z	
2.a.20-8		2016-10-26T07:10:09Z	
2.a.21		2016-10-26T14:01:15Z	
3.0.0-alpha		2016-10-30T01:04:06Z	
3.0.1-alpha		2016-10-30T01:47:26Z	
3.0.2-alpha		2016-10-30T02:04:35Z	
3.0.3-alpha		2016-10-30T03:26:33Z	
3.0.5-alpha		2016-11-30T06:48:27Z	
