1.0		2010-07-22T15:35:09Z	
1.1		2011-01-20T19:38:31Z	
1.10		2012-04-06T15:53:09Z	
1.11		2012-05-02T23:43:27Z	
1.12		2012-09-20T15:32:35Z	
1.13		2012-12-23T14:49:48Z	
1.14		2013-04-09T22:01:19Z	
1.15		2013-04-19T18:50:57Z	
1.16		2013-05-10T15:52:29Z	
1.17		2013-05-18T15:22:41Z	
1.18		2013-10-11T18:16:15Z	
1.19		2014-01-23T16:53:09Z	
1.2		2011-03-31T15:14:58Z	
1.20		2014-02-05T16:12:18Z	
1.21		2014-05-07T20:30:20Z	
1.22		2015-07-27T14:50:15Z	
1.3		2011-06-01T12:39:00Z	
1.4		2011-07-18T16:50:18Z	
1.5		2011-11-29T15:08:07Z	
1.6		2011-12-19T14:40:50Z	
1.7		2012-01-13T17:32:27Z	
1.8		2012-01-30T12:41:38Z	
1.9		2012-02-27T17:26:10Z	
