0.0.1.beta6		2020-01-15T17:34:32Z	
0.7.10		2018-10-03T13:58:32Z	
0.7.3		2017-11-27T13:30:29Z	
0.7.4		2018-01-10T16:14:11Z	
0.7.5		2018-03-12T16:39:39Z	
0.7.6		2018-04-12T12:41:46Z	
0.7.7		2018-05-17T13:29:28Z	
0.7.8		2018-08-24T09:16:42Z	
0.7.9		2018-08-24T14:54:19Z	
1.0.0-rc1		2020-02-11T14:40:21Z	
1.0.0-rc2		2020-02-20T11:08:18Z	
1.0.0-rc3		2020-05-04T09:55:20Z	
1.0.0-rc4		2020-05-14T16:38:15Z	
1.0.0.beta3		2018-12-17T14:03:08Z	
1.0.0.beta4		2019-09-04T13:51:38Z	
1.0.0.beta5		2019-10-03T14:16:35Z	
1.0.0.beta6		2019-11-06T10:12:36Z	
1.0.0.beta7		2019-11-22T10:45:57Z	
1.0.0.beta8		2019-11-25T14:03:11Z	
1.0.0.beta9		2020-01-30T16:46:09Z	
styx-1.0.0.beta2		2018-10-31T11:02:25Z	
v0.0.5		2020-02-13T15:42:04Z	
