1.0.20.2-jre15	com.guicedee.services	jakarta.ws.rs-api	1.0.20.2-jre15
1.0.20.2-jre14	com.guicedee.services	jakarta.ws.rs-api	1.0.20.2-jre14
1.0.20.2-jre8	com.guicedee.services	jakarta.ws.rs-api	1.0.20.2-jre8
1.0.20.2	com.guicedee.services	jakarta.ws.rs-api	1.0.20.2
1.0.20.1-jre15	com.guicedee.services	jakarta.ws.rs-api	1.0.20.1-jre15
1.0.20.1-jre14	com.guicedee.services	jakarta.ws.rs-api	1.0.20.1-jre14
1.0.20.1-jre8	com.guicedee.services	jakarta.ws.rs-api	1.0.20.1-jre8
1.0.20.1	com.guicedee.services	jakarta.ws.rs-api	1.0.20.1
1.0.20.0-jre15	com.guicedee.services	jakarta.ws.rs-api	1.0.20.0-jre15
1.0.20.0-jre14	com.guicedee.services	jakarta.ws.rs-api	1.0.20.0-jre14
1.0.20.0-jre8	com.guicedee.services	jakarta.ws.rs-api	1.0.20.0-jre8
1.0.20.0	com.guicedee.services	jakarta.ws.rs-api	1.0.20.0
