0.5.1+10-df2ae9e1		2019-01-15T19:06:21Z	
0.5.1+11-ee1e49e9		2019-01-17T01:29:25Z	
0.5.1+12-f1f05f1b		2019-01-21T19:09:12Z	
0.5.1+13-25dace29		2019-01-24T01:47:03Z	
0.5.1+14-515be036		2019-01-28T08:09:28Z	
0.5.1+14-e10c4f58		2019-01-28T00:10:06Z	
0.5.1+15-a4357693		2019-01-28T21:11:46Z	
0.5.1+2-1405886d		2018-11-05T00:45:17Z	
0.5.1+3-df44aa3f		2018-11-06T00:40:10Z	
0.5.1+4-95824eed		2018-11-15T20:59:59Z	
0.5.1+5-2d3f2697		2018-11-18T01:58:26Z	
0.5.1+6-ba201a7c		2018-11-22T04:43:50Z	
0.5.1+7-af7c2f4e		2018-11-26T21:39:14Z	
0.5.1+8-62763a5b		2019-01-10T23:58:46Z	
0.5.1+9-c1712304		2019-01-11T01:12:54Z	
0.5.2		2019-01-28T23:43:08Z	
0.5.2+1-fa40e060		2019-01-29T21:49:54Z	
0.5.2+10-a77b5c4d		2019-03-20T02:48:12Z	
0.5.2+11-966e8fdc		2019-03-21T19:37:28Z	
0.5.2+12-d9292cfd		2019-03-22T00:14:26Z	
0.5.2+13-3fb2cd28		2019-03-25T23:26:15Z	
0.5.2+14-b7353436		2019-03-26T05:19:14Z	
0.5.2+15-b175c4ea		2019-03-27T03:56:26Z	
0.5.2+16-287ad0d4		2019-03-27T21:20:53Z	
0.5.2+17-61e62a7f		2019-03-27T22:06:09Z	
0.5.2+3-bd0adafa		2019-02-07T00:04:59Z	
0.5.2+4-de4ba900		2019-02-07T05:06:29Z	
0.5.2+5-3b70dbe1		2019-02-07T23:57:17Z	
0.5.2+6-10d43572		2019-02-20T09:48:26Z	
0.5.2+7-6f594e49		2019-03-18T00:48:58Z	
0.5.2+8-f8a70c84		2019-03-18T04:54:10Z	
0.5.2+9-8899ac4e		2019-03-19T18:09:11Z	
0.6.0		2019-03-27T23:15:39Z	
0.6.0+1-0a8f90f4		2019-03-29T18:52:32Z	
0.6.0+10-16853548		2019-04-18T19:15:54Z	
0.6.0+2-80371ce9		2019-03-29T19:23:07Z	
0.6.0+3-70dfd8ca		2019-03-31T02:06:29Z	
0.6.0+4-3aa63d8e		2019-03-31T04:09:17Z	
0.6.0+5-d8539dd7		2019-03-31T23:29:57Z	
0.6.0+6-6ae44bba		2019-04-02T05:53:35Z	
0.6.0+7-a9878721		2019-04-11T06:06:32Z	
0.6.0+8-9642da17		2019-04-13T04:11:10Z	
0.6.0+9-7cbb79b5		2019-04-18T07:18:12Z	
0.6.1		2019-04-18T21:54:46Z	
0.6.1+2-5ebe3226		2019-05-20T01:28:11Z	
0.6.1+3-29e60c22		2019-05-20T04:21:24Z	
0.6.1+4-3f17927d		2019-06-02T05:07:31Z	
