6.0.0	com.foursoft.harness.vec	vec-common	6.0.0
5.6.0	com.foursoft.harness.vec	vec-common	5.6.0
5.5.0	com.foursoft.harness.vec	vec-common	5.5.0
5.4.1	com.foursoft.harness.vec	vec-common	5.4.1
5.4.0	com.foursoft.harness.vec	vec-common	5.4.0
5.3.0	com.foursoft.harness.vec	vec-common	5.3.0
5.2.0	com.foursoft.harness.vec	vec-common	5.2.0
5.1.0	com.foursoft.harness.vec	vec-common	5.1.0
5.0.0	com.foursoft.harness.vec	vec-common	5.0.0
4.0.0	com.foursoft.harness.vec	vec-common	4.0.0
2.2.0	com.foursoft.harness.vec	vec-common	2.2.0
2.1.3	com.foursoft.harness.vec	vec-common	2.1.3
2.1.2	com.foursoft.harness.vec	vec-common	2.1.2
2.1.1	com.foursoft.harness.vec	vec-common	2.1.1
2.1.0	com.foursoft.harness.vec	vec-common	2.1.0
2.0.1	com.foursoft.harness.vec	vec-common	2.0.1
2.0.0	com.foursoft.harness.vec	vec-common	2.0.0
0.1.0	com.foursoft.harness.vec	vec-common	0.1.0
