3.2.2			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/jan-tennert/supabase/sketch-integration-iosarm64/3.2.2/sketch-integration-iosarm64-3.2.2.jar returned status 404
3.2.2	metadata	2025-07-20T01:17:57Z	
3.2.3			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/jan-tennert/supabase/sketch-integration-iosarm64/3.2.3/sketch-integration-iosarm64-3.2.3.jar returned status 404
3.2.3	metadata	2025-09-11T21:32:39Z	
3.2.4			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/jan-tennert/supabase/sketch-integration-iosarm64/3.2.4/sketch-integration-iosarm64-3.2.4.jar returned status 404
3.2.4	metadata	2025-09-26T15:52:45Z	
3.2.5			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/jan-tennert/supabase/sketch-integration-iosarm64/3.2.5/sketch-integration-iosarm64-3.2.5.jar returned status 404
3.2.5	metadata	2025-10-14T00:33:03Z	
3.2.6			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/jan-tennert/supabase/sketch-integration-iosarm64/3.2.6/sketch-integration-iosarm64-3.2.6.jar returned status 404
3.2.6	metadata	2025-10-30T09:35:54Z	
3.3.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/jan-tennert/supabase/sketch-integration-iosarm64/3.3.0/sketch-integration-iosarm64-3.3.0.jar returned status 404
3.3.0	metadata	2026-01-04T23:08:15Z	
3.3.0-beta-1			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/jan-tennert/supabase/sketch-integration-iosarm64/3.3.0-beta-1/sketch-integration-iosarm64-3.3.0-beta-1.jar returned status 404
3.3.0-beta-1	metadata	2025-11-09T18:08:14Z	
3.3.0-rc-1			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/jan-tennert/supabase/sketch-integration-iosarm64/3.3.0-rc-1/sketch-integration-iosarm64-3.3.0-rc-1.jar returned status 404
3.3.0-rc-1	metadata	2025-12-20T13:59:18Z	
3.4.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/jan-tennert/supabase/sketch-integration-iosarm64/3.4.0/sketch-integration-iosarm64-3.4.0.jar returned status 404
3.4.0	metadata	2026-02-26T12:19:06Z	
3.4.1			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/jan-tennert/supabase/sketch-integration-iosarm64/3.4.1/sketch-integration-iosarm64-3.4.1.jar returned status 404
3.4.1	metadata	2026-02-28T18:37:25Z	
3.5.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/jan-tennert/supabase/sketch-integration-iosarm64/3.5.0/sketch-integration-iosarm64-3.5.0.jar returned status 404
3.5.0	metadata	2026-04-03T22:37:11Z	
3.6.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/jan-tennert/supabase/sketch-integration-iosarm64/3.6.0/sketch-integration-iosarm64-3.6.0.jar returned status 404
3.6.0	metadata	2026-04-28T12:34:23Z	
