1.2.0-beta.1	com.azure	azure-communication-email	1.2.0-beta.1
1.1.3	com.azure	azure-communication-email	1.1.3
1.1.2	com.azure	azure-communication-email	1.1.2
1.1.1	com.azure	azure-communication-email	1.1.1
1.1.0	com.azure	azure-communication-email	1.1.0
1.1.0-beta.1	com.azure	azure-communication-email	1.1.0-beta.1
1.0.25	com.azure	azure-communication-email	1.0.25
1.0.24	com.azure	azure-communication-email	1.0.24
1.0.23	com.azure	azure-communication-email	1.0.23
1.0.22	com.azure	azure-communication-email	1.0.22
1.0.21	com.azure	azure-communication-email	1.0.21
1.0.20	com.azure	azure-communication-email	1.0.20
1.0.19	com.azure	azure-communication-email	1.0.19
1.0.18	com.azure	azure-communication-email	1.0.18
1.0.17	com.azure	azure-communication-email	1.0.17
1.0.16	com.azure	azure-communication-email	1.0.16
1.0.15	com.azure	azure-communication-email	1.0.15
1.0.14	com.azure	azure-communication-email	1.0.14
1.0.13	com.azure	azure-communication-email	1.0.13
1.0.12	com.azure	azure-communication-email	1.0.12
1.0.11	com.azure	azure-communication-email	1.0.11
1.0.10	com.azure	azure-communication-email	1.0.10
1.0.9	com.azure	azure-communication-email	1.0.9
1.0.8	com.azure	azure-communication-email	1.0.8
1.0.7	com.azure	azure-communication-email	1.0.7
1.0.6	com.azure	azure-communication-email	1.0.6
1.0.5	com.azure	azure-communication-email	1.0.5
1.0.4	com.azure	azure-communication-email	1.0.4
1.0.3	com.azure	azure-communication-email	1.0.3
1.0.2	com.azure	azure-communication-email	1.0.2
1.0.1	com.azure	azure-communication-email	1.0.1
1.0.0	com.azure	azure-communication-email	1.0.0
1.0.0-beta.2	com.azure	azure-communication-email	1.0.0-beta.2
1.0.0-beta.1	com.azure	azure-communication-email	1.0.0-beta.1
