1.0.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/ru/islamapp/uikit/1.0.0/uikit-1.0.0.jar returned status 404
1.0.0-SNAPSHOT-1			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/ru/islamapp/uikit/1.0.0-SNAPSHOT-1/uikit-1.0.0-SNAPSHOT-1.jar returned status 404
1.0.1			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/ru/islamapp/uikit/1.0.1/uikit-1.0.1.jar returned status 404
1.0.10			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/ru/islamapp/uikit/1.0.10/uikit-1.0.10.jar returned status 404
1.0.11			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/ru/islamapp/uikit/1.0.11/uikit-1.0.11.jar returned status 404
1.0.12			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/ru/islamapp/uikit/1.0.12/uikit-1.0.12.jar returned status 404
1.0.13			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/ru/islamapp/uikit/1.0.13/uikit-1.0.13.jar returned status 404
1.0.14			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/ru/islamapp/uikit/1.0.14/uikit-1.0.14.jar returned status 404
1.0.15			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/ru/islamapp/uikit/1.0.15/uikit-1.0.15.jar returned status 404
1.0.16			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/ru/islamapp/uikit/1.0.16/uikit-1.0.16.jar returned status 404
1.0.17			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/ru/islamapp/uikit/1.0.17/uikit-1.0.17.jar returned status 404
1.0.18			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/ru/islamapp/uikit/1.0.18/uikit-1.0.18.jar returned status 404
1.0.19			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/ru/islamapp/uikit/1.0.19/uikit-1.0.19.jar returned status 404
1.0.2			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/ru/islamapp/uikit/1.0.2/uikit-1.0.2.jar returned status 404
1.0.20			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/ru/islamapp/uikit/1.0.20/uikit-1.0.20.jar returned status 404
1.0.21			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/ru/islamapp/uikit/1.0.21/uikit-1.0.21.jar returned status 404
1.0.22			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/ru/islamapp/uikit/1.0.22/uikit-1.0.22.jar returned status 404
1.0.23			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/ru/islamapp/uikit/1.0.23/uikit-1.0.23.jar returned status 404
1.0.24			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/ru/islamapp/uikit/1.0.24/uikit-1.0.24.jar returned status 404
1.0.25			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/ru/islamapp/uikit/1.0.25/uikit-1.0.25.jar returned status 404
1.0.26			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/ru/islamapp/uikit/1.0.26/uikit-1.0.26.jar returned status 404
1.0.27			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/ru/islamapp/uikit/1.0.27/uikit-1.0.27.jar returned status 404
1.0.28			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/ru/islamapp/uikit/1.0.28/uikit-1.0.28.jar returned status 404
1.0.3			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/ru/islamapp/uikit/1.0.3/uikit-1.0.3.jar returned status 404
1.0.30			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/ru/islamapp/uikit/1.0.30/uikit-1.0.30.jar returned status 404
1.0.31			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/ru/islamapp/uikit/1.0.31/uikit-1.0.31.jar returned status 404
1.0.32			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/ru/islamapp/uikit/1.0.32/uikit-1.0.32.jar returned status 404
1.0.33			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/ru/islamapp/uikit/1.0.33/uikit-1.0.33.jar returned status 404
