20260226.232432		2026-02-26T23:27:10Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/de/connect2x/conventions/c2x-shared-catalog/20260226.232432/c2x-shared-catalog-20260226.232432.jar returned status 404
20260302.155548		2026-03-02T15:58:32Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/de/connect2x/conventions/c2x-shared-catalog/20260302.155548/c2x-shared-catalog-20260302.155548.jar returned status 404
20260303.084249		2026-03-03T08:45:27Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/de/connect2x/conventions/c2x-shared-catalog/20260303.084249/c2x-shared-catalog-20260303.084249.jar returned status 404
20260313.133757		2026-03-13T13:46:35Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/de/connect2x/conventions/c2x-shared-catalog/20260313.133757/c2x-shared-catalog-20260313.133757.jar returned status 404
20260316.153213		2026-03-16T15:35:01Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/de/connect2x/conventions/c2x-shared-catalog/20260316.153213/c2x-shared-catalog-20260316.153213.jar returned status 404
20260316.154408		2026-03-16T15:47:01Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/de/connect2x/conventions/c2x-shared-catalog/20260316.154408/c2x-shared-catalog-20260316.154408.jar returned status 404
20260317.082848		2026-03-17T08:33:51Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/de/connect2x/conventions/c2x-shared-catalog/20260317.082848/c2x-shared-catalog-20260317.082848.jar returned status 404
20260317.120800		2026-03-17T13:41:52Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/de/connect2x/conventions/c2x-shared-catalog/20260317.120800/c2x-shared-catalog-20260317.120800.jar returned status 404
20260318.083039		2026-03-18T08:33:32Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/de/connect2x/conventions/c2x-shared-catalog/20260318.083039/c2x-shared-catalog-20260318.083039.jar returned status 404
20260325.112432		2026-03-25T11:27:22Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/de/connect2x/conventions/c2x-shared-catalog/20260325.112432/c2x-shared-catalog-20260325.112432.jar returned status 404
20260420.225540		2026-04-20T22:58:01Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/de/connect2x/conventions/c2x-shared-catalog/20260420.225540/c2x-shared-catalog-20260420.225540.jar returned status 404
20260502.003201		2026-05-02T00:42:26Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/de/connect2x/conventions/c2x-shared-catalog/20260502.003201/c2x-shared-catalog-20260502.003201.jar returned status 404
20260518.121837		2026-05-18T12:22:17Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/de/connect2x/conventions/c2x-shared-catalog/20260518.121837/c2x-shared-catalog-20260518.121837.jar returned status 404
