1.2.2.1-jre17	com.jwebmp.plugins.forms	jwebmp-image-map-heatmap	1.2.2.1-jre17
1.2.2.1	com.jwebmp.plugins.forms	jwebmp-image-map-heatmap	1.2.2.1
1.2.1.2-jre17	com.jwebmp.plugins.forms	jwebmp-image-map-heatmap	1.2.1.2-jre17
1.2.1.1-jre17	com.jwebmp.plugins.forms	jwebmp-image-map-heatmap	1.2.1.1-jre17
1.2.0.3-jre17-rc1	com.jwebmp.plugins.forms	jwebmp-image-map-heatmap	1.2.0.3-jre17-rc1
1.2.0.2-jre16	com.jwebmp.plugins.forms	jwebmp-image-map-heatmap	1.2.0.2-jre16
1.2.0.1-jre16	com.jwebmp.plugins.forms	jwebmp-image-map-heatmap	1.2.0.1-jre16
1.2.0.1-jre15	com.jwebmp.plugins.forms	jwebmp-image-map-heatmap	1.2.0.1-jre15
1.2.0.1-jre11	com.jwebmp.plugins.forms	jwebmp-image-map-heatmap	1.2.0.1-jre11
1.2.0.0-jre16	com.jwebmp.plugins.forms	jwebmp-image-map-heatmap	1.2.0.0-jre16
1.1.1.9-jre16	com.jwebmp.plugins.forms	jwebmp-image-map-heatmap	1.1.1.9-jre16
1.1.1.9-jre15	com.jwebmp.plugins.forms	jwebmp-image-map-heatmap	1.1.1.9-jre15
1.1.1.8-jre16	com.jwebmp.plugins.forms	jwebmp-image-map-heatmap	1.1.1.8-jre16
1.1.1.8-jre15	com.jwebmp.plugins.forms	jwebmp-image-map-heatmap	1.1.1.8-jre15
1.1.1.7-jre16	com.jwebmp.plugins.forms	jwebmp-image-map-heatmap	1.1.1.7-jre16
1.1.1.7-jre15	com.jwebmp.plugins.forms	jwebmp-image-map-heatmap	1.1.1.7-jre15
1.1.1.7	com.jwebmp.plugins.forms	jwebmp-image-map-heatmap	1.1.1.7
1.1.1.5-jre15	com.jwebmp.plugins.forms	jwebmp-image-map-heatmap	1.1.1.5-jre15
1.1.1.4-jre16	com.jwebmp.plugins.forms	jwebmp-image-map-heatmap	1.1.1.4-jre16
1.1.1.4-jre15	com.jwebmp.plugins.forms	jwebmp-image-map-heatmap	1.1.1.4-jre15
1.1.1.4-jre14	com.jwebmp.plugins.forms	jwebmp-image-map-heatmap	1.1.1.4-jre14
1.1.1.4	com.jwebmp.plugins.forms	jwebmp-image-map-heatmap	1.1.1.4
1.1.1.3-jre16	com.jwebmp.plugins.forms	jwebmp-image-map-heatmap	1.1.1.3-jre16
1.1.1.3-jre15	com.jwebmp.plugins.forms	jwebmp-image-map-heatmap	1.1.1.3-jre15
1.1.1.3-jre14	com.jwebmp.plugins.forms	jwebmp-image-map-heatmap	1.1.1.3-jre14
1.1.1.3	com.jwebmp.plugins.forms	jwebmp-image-map-heatmap	1.1.1.3
1.1.1.2-jre15	com.jwebmp.plugins.forms	jwebmp-image-map-heatmap	1.1.1.2-jre15
1.1.1.2-jre14	com.jwebmp.plugins.forms	jwebmp-image-map-heatmap	1.1.1.2-jre14
1.1.1.2	com.jwebmp.plugins.forms	jwebmp-image-map-heatmap	1.1.1.2
1.1.1.1-jre15-SP1	com.jwebmp.plugins.forms	jwebmp-image-map-heatmap	1.1.1.1-jre15-SP1
1.1.1.1-jre14-SP1	com.jwebmp.plugins.forms	jwebmp-image-map-heatmap	1.1.1.1-jre14-SP1
1.1.1.1-SP1	com.jwebmp.plugins.forms	jwebmp-image-map-heatmap	1.1.1.1-SP1
1.1.1.0-jre15	com.jwebmp.plugins.forms	jwebmp-image-map-heatmap	1.1.1.0-jre15
1.1.1.0-jre14	com.jwebmp.plugins.forms	jwebmp-image-map-heatmap	1.1.1.0-jre14
1.1.1.0	com.jwebmp.plugins.forms	jwebmp-image-map-heatmap	1.1.1.0
1.1.1.0-SNAPSHOT-jre15	com.jwebmp.plugins.forms	jwebmp-image-map-heatmap	1.1.1.0-SNAPSHOT-jre15
1.1.1.0-SNAPSHOT-jre14	com.jwebmp.plugins.forms	jwebmp-image-map-heatmap	1.1.1.0-SNAPSHOT-jre14
1.1.0.8-SNAPSHOT-jre14	com.jwebmp.plugins.forms	jwebmp-image-map-heatmap	1.1.0.8-SNAPSHOT-jre14
1.1.0.7-jre15	com.jwebmp.plugins.forms	jwebmp-image-map-heatmap	1.1.0.7-jre15
1.1.0.7-jre14	com.jwebmp.plugins.forms	jwebmp-image-map-heatmap	1.1.0.7-jre14
1.1.0.7	com.jwebmp.plugins.forms	jwebmp-image-map-heatmap	1.1.0.7
1.1.0.6-jre15	com.jwebmp.plugins.forms	jwebmp-image-map-heatmap	1.1.0.6-jre15
1.1.0.6-jre14	com.jwebmp.plugins.forms	jwebmp-image-map-heatmap	1.1.0.6-jre14
1.1.0.6	com.jwebmp.plugins.forms	jwebmp-image-map-heatmap	1.1.0.6
1.1.0.5-jre15	com.jwebmp.plugins.forms	jwebmp-image-map-heatmap	1.1.0.5-jre15
1.1.0.5-jre14	com.jwebmp.plugins.forms	jwebmp-image-map-heatmap	1.1.0.5-jre14
1.1.0.4-jre15	com.jwebmp.plugins.forms	jwebmp-image-map-heatmap	1.1.0.4-jre15
1.1.0.4-jre14	com.jwebmp.plugins.forms	jwebmp-image-map-heatmap	1.1.0.4-jre14
1.1.0.3-jre15	com.jwebmp.plugins.forms	jwebmp-image-map-heatmap	1.1.0.3-jre15
1.1.0.3-jre14	com.jwebmp.plugins.forms	jwebmp-image-map-heatmap	1.1.0.3-jre14
1.1.0.3	com.jwebmp.plugins.forms	jwebmp-image-map-heatmap	1.1.0.3
1.1.0.2-jre15	com.jwebmp.plugins.forms	jwebmp-image-map-heatmap	1.1.0.2-jre15
1.1.0.2-jre14	com.jwebmp.plugins.forms	jwebmp-image-map-heatmap	1.1.0.2-jre14
1.1.0.2	com.jwebmp.plugins.forms	jwebmp-image-map-heatmap	1.1.0.2
1.1.0.1-jre15	com.jwebmp.plugins.forms	jwebmp-image-map-heatmap	1.1.0.1-jre15
1.1.0.1-jre14	com.jwebmp.plugins.forms	jwebmp-image-map-heatmap	1.1.0.1-jre14
1.1.0.1	com.jwebmp.plugins.forms	jwebmp-image-map-heatmap	1.1.0.1
1.1.0.0-jre15	com.jwebmp.plugins.forms	jwebmp-image-map-heatmap	1.1.0.0-jre15
1.0.20.2-jre15	com.jwebmp.plugins.forms	jwebmp-image-map-heatmap	1.0.20.2-jre15
1.0.20.2-jre14	com.jwebmp.plugins.forms	jwebmp-image-map-heatmap	1.0.20.2-jre14
1.0.20.2	com.jwebmp.plugins.forms	jwebmp-image-map-heatmap	1.0.20.2
1.0.20.1-jre15	com.jwebmp.plugins.forms	jwebmp-image-map-heatmap	1.0.20.1-jre15
1.0.20.1-jre14	com.jwebmp.plugins.forms	jwebmp-image-map-heatmap	1.0.20.1-jre14
1.0.20.1	com.jwebmp.plugins.forms	jwebmp-image-map-heatmap	1.0.20.1
1.0.20.0-jre15	com.jwebmp.plugins.forms	jwebmp-image-map-heatmap	1.0.20.0-jre15
1.0.20.0-jre14	com.jwebmp.plugins.forms	jwebmp-image-map-heatmap	1.0.20.0-jre14
1.0.20.0	com.jwebmp.plugins.forms	jwebmp-image-map-heatmap	1.0.20.0
1.0.19.13-jre15	com.jwebmp.plugins.forms	jwebmp-image-map-heatmap	1.0.19.13-jre15
1.0.19.13-jre14	com.jwebmp.plugins.forms	jwebmp-image-map-heatmap	1.0.19.13-jre14
1.0.19.13	com.jwebmp.plugins.forms	jwebmp-image-map-heatmap	1.0.19.13
1.0.19.12-jre14	com.jwebmp.plugins.forms	jwebmp-image-map-heatmap	1.0.19.12-jre14
1.0.19.11-jre14	com.jwebmp.plugins.forms	jwebmp-image-map-heatmap	1.0.19.11-jre14
1.0.19.11	com.jwebmp.plugins.forms	jwebmp-image-map-heatmap	1.0.19.11
1.0.19.10-jre15	com.jwebmp.plugins.forms	jwebmp-image-map-heatmap	1.0.19.10-jre15
1.0.19.10-jre14	com.jwebmp.plugins.forms	jwebmp-image-map-heatmap	1.0.19.10-jre14
1.0.19.10-jre12	com.jwebmp.plugins.forms	jwebmp-image-map-heatmap	1.0.19.10-jre12
1.0.19.10	com.jwebmp.plugins.forms	jwebmp-image-map-heatmap	1.0.19.10
