7.0.248		2026-06-05T10:20:07Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/codenameone/cn1-unity-levelplay-lib/7.0.248/cn1-unity-levelplay-lib-7.0.248.jar returned status 404
7.0.250		2026-06-05T11:18:37Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/codenameone/cn1-unity-levelplay-lib/7.0.250/cn1-unity-levelplay-lib-7.0.250.jar returned status 404
7.0.251		2026-06-12T07:06:49Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/codenameone/cn1-unity-levelplay-lib/7.0.251/cn1-unity-levelplay-lib-7.0.251.jar returned status 404
7.0.252		2026-06-19T11:53:35Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/codenameone/cn1-unity-levelplay-lib/7.0.252/cn1-unity-levelplay-lib-7.0.252.jar returned status 404
7.0.253		2026-06-26T04:05:31Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/codenameone/cn1-unity-levelplay-lib/7.0.253/cn1-unity-levelplay-lib-7.0.253.jar returned status 404
7.0.254		2026-06-27T07:32:29Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/codenameone/cn1-unity-levelplay-lib/7.0.254/cn1-unity-levelplay-lib-7.0.254.jar returned status 404
7.0.255		2026-06-27T09:18:14Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/codenameone/cn1-unity-levelplay-lib/7.0.255/cn1-unity-levelplay-lib-7.0.255.jar returned status 404
7.0.256		2026-07-03T03:55:50Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/codenameone/cn1-unity-levelplay-lib/7.0.256/cn1-unity-levelplay-lib-7.0.256.jar returned status 404
7.0.257			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/codenameone/cn1-unity-levelplay-lib/7.0.257/cn1-unity-levelplay-lib-7.0.257.jar returned status 404
7.0.258			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/codenameone/cn1-unity-levelplay-lib/7.0.258/cn1-unity-levelplay-lib-7.0.258.jar returned status 404
7.0.259			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/codenameone/cn1-unity-levelplay-lib/7.0.259/cn1-unity-levelplay-lib-7.0.259.jar returned status 404
7.0.260			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/codenameone/cn1-unity-levelplay-lib/7.0.260/cn1-unity-levelplay-lib-7.0.260.jar returned status 404
7.0.261			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/codenameone/cn1-unity-levelplay-lib/7.0.261/cn1-unity-levelplay-lib-7.0.261.jar returned status 404
7.0.262			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/codenameone/cn1-unity-levelplay-lib/7.0.262/cn1-unity-levelplay-lib-7.0.262.jar returned status 404
7.0.263			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/codenameone/cn1-unity-levelplay-lib/7.0.263/cn1-unity-levelplay-lib-7.0.263.jar returned status 404
7.0.264			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/codenameone/cn1-unity-levelplay-lib/7.0.264/cn1-unity-levelplay-lib-7.0.264.jar returned status 404
7.0.265		2026-08-07T06:38:49Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/codenameone/cn1-unity-levelplay-lib/7.0.265/cn1-unity-levelplay-lib-7.0.265.jar returned status 404
