1.3.0		2017-02-23T01:37:01Z	
1.3.0-M1		2016-12-08T05:52:55Z	
1.3.0-RC1		2017-01-24T03:37:26Z	
1.3.0-RC2		2017-02-17T03:55:04Z	
1.3.1		2017-03-03T10:18:28Z	
1.3.10		2017-11-01T23:34:41Z	
1.3.10-M1		2017-10-13T17:48:58Z	
1.3.11		2018-03-21T16:29:06Z	
1.3.2		2017-04-13T06:07:13Z	
1.3.3		2017-04-28T00:55:43Z	
1.3.4		2017-05-16T11:15:26Z	
1.3.5		2017-06-15T11:11:56Z	
1.3.6		2017-07-17T01:51:43Z	
1.3.7		2017-08-18T07:09:02Z	
1.3.7-RC1		2017-07-21T09:08:12Z	
1.3.8		2017-08-29T15:09:52Z	
1.3.8-M1		2017-08-21T16:23:05Z	
1.3.9		2017-10-04T16:17:01Z	
1.4.0		2018-01-25T12:29:34Z	
1.4.0-M1		2017-06-28T09:56:44Z	
1.4.0-M2		2017-09-04T15:44:10Z	
1.4.0-M3		2017-11-29T10:27:35Z	
1.4.0-RC1		2017-12-22T09:28:36Z	
1.4.1		2018-03-06T06:48:44Z	
1.4.10		2019-01-10T18:02:08Z	
1.4.11		2019-02-12T14:55:05Z	
1.4.12		2019-05-03T08:34:05Z	
1.4.13		2019-05-14T21:13:22Z	
1.4.13-a5bd71c7		2019-05-10T20:31:08Z	
1.4.14		2019-05-17T16:42:17Z	
1.4.15		2019-08-22T20:30:57Z	
1.4.2		2018-03-22T09:13:41Z	
1.4.3		2018-03-27T22:41:06Z	
1.4.4		2018-03-27T23:17:00Z	
1.4.5		2018-05-16T04:50:19Z	
1.4.5-M1		2018-04-03T16:57:05Z	
1.4.6		2018-05-30T15:23:38Z	
1.4.7		2018-07-19T15:59:27Z	
1.4.8		2018-08-31T13:04:59Z	
1.4.9		2018-11-15T16:52:09Z	
1.5.0		2019-04-16T08:23:15Z	
1.5.0-M1		2018-07-26T20:02:22Z	
1.5.0-M2		2018-07-27T17:14:33Z	
1.5.0-M3		2018-09-03T14:22:09Z	
1.5.0-M4		2018-10-15T12:14:29Z	
1.5.0-RC1		2018-11-16T11:24:30Z	
1.5.0-RC1-26-g7d68234		2019-02-14T10:22:10Z	
1.5.0-RC2		2019-02-26T14:31:54Z	
1.5.1		2019-05-02T14:24:54Z	
1.5.3		2019-09-03T17:04:30Z	
1.5.4		2019-10-03T15:23:32Z	
1.5.5		2019-12-05T09:33:22Z	
