1.0.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/kiryu1223/drink-support/1.0.0/drink-support-1.0.0.jar returned status 404
1.0.1			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/kiryu1223/drink-support/1.0.1/drink-support-1.0.1.jar returned status 404
1.0.10			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/kiryu1223/drink-support/1.0.10/drink-support-1.0.10.jar returned status 404
1.0.11			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/kiryu1223/drink-support/1.0.11/drink-support-1.0.11.jar returned status 404
1.0.12			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/kiryu1223/drink-support/1.0.12/drink-support-1.0.12.jar returned status 404
1.0.13			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/kiryu1223/drink-support/1.0.13/drink-support-1.0.13.jar returned status 404
1.0.14			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/kiryu1223/drink-support/1.0.14/drink-support-1.0.14.jar returned status 404
1.0.15			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/kiryu1223/drink-support/1.0.15/drink-support-1.0.15.jar returned status 404
1.0.16			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/kiryu1223/drink-support/1.0.16/drink-support-1.0.16.jar returned status 404
1.0.17			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/kiryu1223/drink-support/1.0.17/drink-support-1.0.17.jar returned status 404
1.0.18			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/kiryu1223/drink-support/1.0.18/drink-support-1.0.18.jar returned status 404
1.0.19			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/kiryu1223/drink-support/1.0.19/drink-support-1.0.19.jar returned status 404
1.0.2			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/kiryu1223/drink-support/1.0.2/drink-support-1.0.2.jar returned status 404
1.0.20			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/kiryu1223/drink-support/1.0.20/drink-support-1.0.20.jar returned status 404
1.0.21			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/kiryu1223/drink-support/1.0.21/drink-support-1.0.21.jar returned status 404
1.0.22			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/kiryu1223/drink-support/1.0.22/drink-support-1.0.22.jar returned status 404
1.0.23			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/kiryu1223/drink-support/1.0.23/drink-support-1.0.23.jar returned status 404
1.0.24			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/kiryu1223/drink-support/1.0.24/drink-support-1.0.24.jar returned status 404
1.0.25			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/kiryu1223/drink-support/1.0.25/drink-support-1.0.25.jar returned status 404
1.0.26			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/kiryu1223/drink-support/1.0.26/drink-support-1.0.26.jar returned status 404
1.0.27			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/kiryu1223/drink-support/1.0.27/drink-support-1.0.27.jar returned status 404
1.0.28			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/kiryu1223/drink-support/1.0.28/drink-support-1.0.28.jar returned status 404
1.0.29			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/kiryu1223/drink-support/1.0.29/drink-support-1.0.29.jar returned status 404
