1.0.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/monnify/android-sdk/monnify-android-sdk/1.0.0/monnify-android-sdk-1.0.0.jar returned status 404
1.0.1			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/monnify/android-sdk/monnify-android-sdk/1.0.1/monnify-android-sdk-1.0.1.jar returned status 404
1.0.10			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/monnify/android-sdk/monnify-android-sdk/1.0.10/monnify-android-sdk-1.0.10.jar returned status 404
1.0.11			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/monnify/android-sdk/monnify-android-sdk/1.0.11/monnify-android-sdk-1.0.11.jar returned status 404
1.0.12			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/monnify/android-sdk/monnify-android-sdk/1.0.12/monnify-android-sdk-1.0.12.jar returned status 404
1.0.13			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/monnify/android-sdk/monnify-android-sdk/1.0.13/monnify-android-sdk-1.0.13.jar returned status 404
1.0.14			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/monnify/android-sdk/monnify-android-sdk/1.0.14/monnify-android-sdk-1.0.14.jar returned status 404
1.0.15			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/monnify/android-sdk/monnify-android-sdk/1.0.15/monnify-android-sdk-1.0.15.jar returned status 404
1.0.16			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/monnify/android-sdk/monnify-android-sdk/1.0.16/monnify-android-sdk-1.0.16.jar returned status 404
1.0.17			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/monnify/android-sdk/monnify-android-sdk/1.0.17/monnify-android-sdk-1.0.17.jar returned status 404
1.0.18			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/monnify/android-sdk/monnify-android-sdk/1.0.18/monnify-android-sdk-1.0.18.jar returned status 404
1.0.19			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/monnify/android-sdk/monnify-android-sdk/1.0.19/monnify-android-sdk-1.0.19.jar returned status 404
